id,brand,model,year,category,rating,displacement_ccm,power_hp,engine_cylinder,fuel_capacity_lts,dry_weight_kg,seat_height_mm
32628,triumph,tiger 1200 xrt,2021,Allround,3.3,1215.0,141.0,In-line three,20.0,243.0,835.0
32629,triumph,tiger 1200 xrx,2018,Allround,Unknown,1215.0,139.0,In-line three,20.0,244.0,835.0
32630,triumph,tiger 1200 xrx,2019,Allround,3.4,1215.0,139.0,In-line three,20.0,244.0,835.0
32631,triumph,tiger 1200 xrx,2020,Allround,Unknown,1215.0,139.0,In-line three,20.0,244.0,810.0
32632,triumph,tiger 1200 xrx,2021,Allround,Unknown,1215.0,141.0,In-line three,20.0,244.0,790.0
32633,triumph,tiger 1200 xrx explorer,2020,Allround,Unknown,1215.0,139.0,In-line three,20.0,246.0,837.0
32634,triumph,tiger 1200 xrx low,2018,Allround,Unknown,1215.0,139.0,In-line three,20.0,246.0,785.0
32635,triumph,tiger 1200 xrx low,2019,Allround,Unknown,1215.0,141.0,In-line three,20.0,244.0,785.0
32636,triumph,tiger 1200 xrx low,2020,Allround,Unknown,1215.0,141.0,In-line three,20.0,244.0,785.0
32637,triumph,tiger 1200 xrx low,2021,Allround,Unknown,1215.0,141.0,In-line three,20.0,244.0,790.0
32638,triumph,tiger 800,2011,Allround,3.6,799.0,94.0,In-line three,18.93,Unknown,843.0
32639,triumph,tiger 800,2012,Allround,3.6,799.0,94.0,In-line three,19.0,Unknown,843.0
32640,triumph,tiger 800,2013,Sport,3.6,800.0,95.0,In-line three,19.0,Unknown,810.0
32641,triumph,tiger 800 abs,2014,Sport,3.6,800.0,95.0,In-line three,19.0,Unknown,810.0
32642,triumph,tiger 800 abs,2015,Super motard,3.1,799.0,95.0,In-line three,19.0,193.0,845.0
32643,triumph,tiger 800 xc,2013,Super motard,4.0,799.0,95.0,In-line three,19.0,Unknown,845.0
32644,triumph,tiger 800 xc,2014,Super motard,2.9,799.0,95.0,In-line three,19.0,Unknown,845.0
32645,triumph,tiger 800 xc,2015,Super motard,Unknown,799.0,95.0,In-line three,19.0,190.0,845.0
32646,triumph,tiger 800 xc,2016,Super motard,3.6,799.0,95.0,In-line three,19.0,193.0,840.0
